benchmark,time,cpu,iterations
add_constref_bench/16_median,       2792 ns,        2792 ns,30
add_constref_bench/16_stddev,       19.1 ns,        19.1 ns,30
add_constref_bench/32,      10986 ns,       10985 ns,63644
add_constref_bench/32,      10997 ns,       10995 ns,63644
add_constref_bench/32,      11003 ns,       10997 ns,63644
add_constref_bench/32,      10995 ns,       10991 ns,63644
add_constref_bench/32,      10988 ns,       10987 ns,63644
add_constref_bench/32,      10984 ns,       10981 ns,63644
add_constref_bench/32,      10985 ns,       10984 ns,63644
add_constref_bench/32,      11033 ns,       11033 ns,63644
add_constref_bench/32,      10976 ns,       10972 ns,63644
add_constref_bench/32,      11003 ns,       11002 ns,63644
add_constref_bench/32,      11017 ns,       11015 ns,63644
add_constref_bench/32,      10991 ns,       10989 ns,63644
add_constref_bench/32,      10993 ns,       10991 ns,63644
add_constref_bench/32,      10987 ns,       10986 ns,63644
add_constref_bench/32,      10989 ns,       10987 ns,63644
add_constref_bench/32,      11005 ns,       11005 ns,63644
add_constref_bench/32,      11000 ns,       10999 ns,63644
add_constref_bench/32,      11005 ns,       11004 ns,63644
add_constref_bench/32,      11016 ns,       11014 ns,63644
add_constref_bench/32,      11018 ns,       11017 ns,63644
add_constref_bench/32,      11005 ns,       11003 ns,63644
add_constref_bench/32,      11016 ns,       11015 ns,63644
add_constref_bench/32,      11008 ns,       11006 ns,63644
add_constref_bench/32,      11013 ns,       11012 ns,63644
add_constref_bench/32,      11032 ns,       11031 ns,63644
add_constref_bench/32,      11006 ns,       11002 ns,63644
add_constref_bench/32,      11014 ns,       11013 ns,63644
add_constref_bench/32,      11009 ns,       11007 ns,63644
add_constref_bench/32,      11002 ns,       11000 ns,63644
add_constref_bench/32,      11012 ns,       11010 ns,63644
add_constref_bench/32_mean,      11003 ns,       11001 ns,30
add_constref_bench/32_median,      11004 ns,       11002 ns,30
add_constref_bench/32_stddev,       14.0 ns,        14.4 ns,30
add_constref_bench/64,      43800 ns,       43789 ns,15967
add_constref_bench/64,      43787 ns,       43784 ns,15967
add_constref_bench/64,      43984 ns,       43982 ns,15967
add_constref_bench/64,      43856 ns,       43851 ns,15967
add_constref_bench/64,      43893 ns,       43890 ns,15967
add_constref_bench/64,      43809 ns,       43808 ns,15967
add_constref_bench/64,      43845 ns,       43839 ns,15967
add_constref_bench/64,      43820 ns,       43816 ns,15967
add_constref_bench/64,      43847 ns,       43843 ns,15967
add_constref_bench/64,      43806 ns,       43802 ns,15967
add_constref_bench/64,      43897 ns,       43893 ns,15967
add_constref_bench/64,      43819 ns,       43814 ns,15967
add_constref_bench/64,      43846 ns,       43831 ns,15967
add_constref_bench/64,      43873 ns,       43865 ns,15967
add_constref_bench/64,      43914 ns,       43903 ns,15967
add_constref_bench/64,      43895 ns,       43890 ns,15967
add_constref_bench/64,      43892 ns,       43887 ns,15967
add_constref_bench/64,      44019 ns,       44012 ns,15967
add_constref_bench/64,      43826 ns,       43820 ns,15967
add_constref_bench/64,      43846 ns,       43844 ns,15967
add_constref_bench/64,      43854 ns,       43851 ns,15967
add_constref_bench/64,      43809 ns,       43807 ns,15967
add_constref_bench/64,      43961 ns,       43956 ns,15967
add_constref_bench/64,      43827 ns,       43817 ns,15967
add_constref_bench/64,      43820 ns,       43817 ns,15967
add_constref_bench/64,      43875 ns,       43872 ns,15967
add_constref_bench/64,      43885 ns,       43878 ns,15967
add_constref_bench/64,      43878 ns,       43870 ns,15967
add_constref_bench/64,      43915 ns,       43902 ns,15967
add_constref_bench/64,      43858 ns,       43836 ns,15967
add_constref_bench/64_mean,      43865 ns,       43859 ns,30
add_constref_bench/64_median,      43855 ns,       43847 ns,30
add_constref_bench/64_stddev,       54.8 ns,        54.6 ns,30
add_constref_bench/128,     175054 ns,      175028 ns,3996
add_constref_bench/128,     175142 ns,      175110 ns,3996
add_constref_bench/128,     175063 ns,      175042 ns,3996
add_constref_bench/128,     175072 ns,      175042 ns,3996
add_constref_bench/128,     175327 ns,      175302 ns,3996
add_constref_bench/128,     175039 ns,      175029 ns,3996
add_constref_bench/128,     175229 ns,      175207 ns,3996
add_constref_bench/128,     174999 ns,      174975 ns,3996
add_constref_bench/128,     175454 ns,      175440 ns,3996
add_constref_bench/128,     175834 ns,      175826 ns,3996
add_constref_bench/128,     176220 ns,      176220 ns,3996
add_constref_bench/128,     177863 ns,      177861 ns,3996
add_constref_bench/128,     177103 ns,      177082 ns,3996
add_constref_bench/128,     176969 ns,      176952 ns,3996
add_constref_bench/128,     176593 ns,      176593 ns,3996
add_constref_bench/128,     177256 ns,      177239 ns,3996
add_constref_bench/128,     176801 ns,      176782 ns,3996
add_constref_bench/128,     177067 ns,      177044 ns,3996
add_constref_bench/128,     177007 ns,      176985 ns,3996
add_constref_bench/128,     176863 ns,      176853 ns,3996
add_constref_bench/128,     177292 ns,      177263 ns,3996
add_constref_bench/128,     177119 ns,      177096 ns,3996
add_constref_bench/128,     176668 ns,      176668 ns,3996
add_constref_bench/128,     177090 ns,      177081 ns,3996
add_constref_bench/128,     177362 ns,      177328 ns,3996
add_constref_bench/128,     177432 ns,      177412 ns,3996
add_constref_bench/128,     177155 ns,      177119 ns,3996
add_constref_bench/128,     177142 ns,      177114 ns,3996
add_constref_bench/128,     177231 ns,      177226 ns,3996
add_constref_bench/128,     177263 ns,      177259 ns,3996
add_constref_bench/128_mean,     176457 ns,      176439 ns,30
add_constref_bench/128_median,     176916 ns,      176902 ns,30
add_constref_bench/128_stddev,        942 ns,         944 ns,30
add_constref_bench/256,     708411 ns,      708290 ns,984
add_constref_bench/256,     708634 ns,      708582 ns,984
add_constref_bench/256,     709893 ns,      709844 ns,984
add_constref_bench/256,     707748 ns,      707623 ns,984
add_constref_bench/256,     710625 ns,      710592 ns,984
add_constref_bench/256,     710023 ns,      710021 ns,984
add_constref_bench/256,     708961 ns,      708960 ns,984
add_constref_bench/256,     709815 ns,      709697 ns,984
add_constref_bench/256,     708245 ns,      708039 ns,984
add_constref_bench/256,     708300 ns,      708255 ns,984
add_constref_bench/256,     709825 ns,      709741 ns,984
add_constref_bench/256,     708592 ns,      708495 ns,984
add_constref_bench/256,     708362 ns,      708316 ns,984
add_constref_bench/256,     710333 ns,      710249 ns,984
add_constref_bench/256,     708522 ns,      708351 ns,984
add_constref_bench/256,     710143 ns,      710097 ns,984
add_constref_bench/256,     716412 ns,      716311 ns,984
add_constref_bench/256,     708767 ns,      708570 ns,984
add_constref_bench/256,     709530 ns,      709495 ns,984
add_constref_bench/256,     709204 ns,      709094 ns,984
add_constref_bench/256,     709904 ns,      709767 ns,984
add_constref_bench/256,     710318 ns,      710227 ns,984
add_constref_bench/256,     709647 ns,      709508 ns,984
add_constref_bench/256,     708375 ns,      708248 ns,984
add_constref_bench/256,     709518 ns,      709365 ns,984
add_constref_bench/256,     710091 ns,      709996 ns,984
add_constref_bench/256,     708562 ns,      708377 ns,984
add_constref_bench/256,     708528 ns,      708429 ns,984
add_constref_bench/256,     710930 ns,      710875 ns,984
add_constref_bench/256,     710435 ns,      710381 ns,984
add_constref_bench/256_mean,     709555 ns,      709460 ns,30
add_constref_bench/256_median,     709524 ns,      709430 ns,30
add_constref_bench/256_stddev,       1553 ns,        1565 ns,30
add_constref_bench/512,    2839313 ns,     2839106 ns,245
add_constref_bench/512,    2831951 ns,     2831700 ns,245
add_constref_bench/512,    2837453 ns,     2837399 ns,245
add_constref_bench/512,    2829203 ns,     2829048 ns,245
add_constref_bench/512,    2831992 ns,     2831709 ns,245
add_constref_bench/512,    2837560 ns,     2837395 ns,245
add_constref_bench/512,    2835302 ns,     2834921 ns,245
add_constref_bench/512,    2844241 ns,     2843381 ns,245
add_constref_bench/512,    2839808 ns,     2839263 ns,245
add_constref_bench/512,    2834891 ns,     2834344 ns,245
add_constref_bench/512,    2836157 ns,     2835277 ns,245
add_constref_bench/512,    2832133 ns,     2831927 ns,245
add_constref_bench/512,    2828486 ns,     2827985 ns,245
add_constref_bench/512,    2834512 ns,     2834263 ns,245
add_constref_bench/512,    2833286 ns,     2833082 ns,245
add_constref_bench/512,    2834767 ns,     2834429 ns,245
add_constref_bench/512,    2832769 ns,     2832507 ns,245
add_constref_bench/512,    2833225 ns,     2832610 ns,245
add_constref_bench/512,    2836388 ns,     2836065 ns,245
add_constref_bench/512,    2831371 ns,     2830691 ns,245
add_constref_bench/512,    2868879 ns,     2868741 ns,245
add_constref_bench/512,    2837420 ns,     2836592 ns,245
add_constref_bench/512,    2836543 ns,     2836039 ns,245
add_constref_bench/512,    2836043 ns,     2835800 ns,245
add_constref_bench/512,    2833492 ns,     2832540 ns,245
add_constref_bench/512,    2835894 ns,     2835874 ns,245
add_constref_bench/512,    2828550 ns,     2828306 ns,245
add_constref_bench/512,    2833149 ns,     2832647 ns,245
add_constref_bench/512,    2844565 ns,     2844381 ns,245
add_constref_bench/512,    2834352 ns,     2834256 ns,245
add_constref_bench/512_mean,    2836123 ns,     2835743 ns,30
add_constref_bench/512_median,    2834829 ns,     2834386 ns,30
add_constref_bench/512_stddev,       7262 ns,        7290 ns,30
add_constref_bench/1024,   11375119 ns,    11374113 ns,61
add_constref_bench/1024,   11355175 ns,    11353715 ns,61
add_constref_bench/1024,   11333912 ns,    11330546 ns,61
add_constref_bench/1024,   11331727 ns,    11330554 ns,61
add_constref_bench/1024,   11336454 ns,    11332928 ns,61
add_constref_bench/1024,   11340373 ns,    11337100 ns,61
add_constref_bench/1024,   11327599 ns,    11323348 ns,61
add_constref_bench/1024,   11340302 ns,    11337866 ns,61
add_constref_bench/1024,   11329767 ns,    11324314 ns,61
add_constref_bench/1024,   11321518 ns,    11318961 ns,61
add_constref_bench/1024,   11348279 ns,    11347099 ns,61
add_constref_bench/1024,   11350448 ns,    11348479 ns,61
add_constref_bench/1024,   11353060 ns,    11349830 ns,61
add_constref_bench/1024,   11368007 ns,    11367399 ns,61
add_constref_bench/1024,   11330937 ns,    11326967 ns,61
add_constref_bench/1024,   11327360 ns,    11324719 ns,61
add_constref_bench/1024,   11343518 ns,    11342964 ns,61
add_constref_bench/1024,   11348529 ns,    11344801 ns,61
add_constref_bench/1024,   11313786 ns,    11312339 ns,61
add_constref_bench/1024,   11341783 ns,    11339471 ns,61
add_constref_bench/1024,   11351923 ns,    11347980 ns,61
add_constref_bench/1024,   11344456 ns,    11340873 ns,61
add_constref_bench/1024,   11330675 ns,    11326313 ns,61
add_constref_bench/1024,   11338297 ns,    11332334 ns,61
add_constref_bench/1024,   11328198 ns,    11325934 ns,61
add_constref_bench/1024,   11350258 ns,    11346474 ns,61
add_constref_bench/1024,   11325793 ns,    11324690 ns,61
add_constref_bench/1024,   11323024 ns,    11320813 ns,61
add_constref_bench/1024,   11327216 ns,    11327198 ns,61
add_constref_bench/1024,   11346345 ns,    11346335 ns,61
add_constref_bench/1024_mean,   11339461 ns,    11336882 ns,30
add_constref_bench/1024_median,   11339299 ns,    11335014 ns,30
add_constref_bench/1024_stddev,      13788 ns,       14136 ns,30
add_constref_bench/2048,   53937454 ns,    53934079 ns,13
add_constref_bench/2048,   53953541 ns,    53947115 ns,13
add_constref_bench/2048,   53971483 ns,    53965511 ns,13
add_constref_bench/2048,   53855374 ns,    53848988 ns,13
add_constref_bench/2048,   53969180 ns,    53954166 ns,13
add_constref_bench/2048,   53875542 ns,    53872675 ns,13
add_constref_bench/2048,   53847661 ns,    53790105 ns,13
add_constref_bench/2048,   53828730 ns,    53811096 ns,13
add_constref_bench/2048,   53779715 ns,    53776502 ns,13
add_constref_bench/2048,   53801074 ns,    53791151 ns,13
add_constref_bench/2048,   53974453 ns,    53970490 ns,13
add_constref_bench/2048,   54001202 ns,    53998091 ns,13
add_constref_bench/2048,   53824945 ns,    53801121 ns,13
add_constref_bench/2048,   53883011 ns,    53869716 ns,13
add_constref_bench/2048,   53829619 ns,    53817193 ns,13
add_constref_bench/2048,   53873791 ns,    53864374 ns,13
add_constref_bench/2048,   53796379 ns,    53791086 ns,13
add_constref_bench/2048,   53907510 ns,    53899525 ns,13
add_constref_bench/2048,   53819890 ns,    53795345 ns,13
add_constref_bench/2048,   53910077 ns,    53900546 ns,13
add_constref_bench/2048,   53858745 ns,    53840851 ns,13
add_constref_bench/2048,   53842282 ns,    53825415 ns,13
add_constref_bench/2048,   53911890 ns,    53903556 ns,13
add_constref_bench/2048,   53893463 ns,    53886452 ns,13
add_constref_bench/2048,   53892933 ns,    53872909 ns,13
add_constref_bench/2048,   53866679 ns,    53859270 ns,13
add_constref_bench/2048,   53845579 ns,    53824956 ns,13
add_constref_bench/2048,   53844411 ns,    53837000 ns,13
add_constref_bench/2048,   53870642 ns,    53856310 ns,13
add_constref_bench/2048,   53903282 ns,    53888443 ns,13
add_constref_bench/2048_mean,   53879018 ns,    53866468 ns,30
add_constref_bench/2048_median,   53872217 ns,    53861822 ns,30
add_constref_bench/2048_stddev,      56807 ns,       60693 ns,30
add_constref_bench/4096,  213608590 ns,   213577582 ns,3
add_constref_bench/4096,  213893088 ns,   213851405 ns,3
add_constref_bench/4096,  214231006 ns,   214197067 ns,3
add_constref_bench/4096,  213347716 ns,   213277239 ns,3
add_constref_bench/4096,  213511744 ns,   213472308 ns,3
add_constref_bench/4096,  213869636 ns,   213773910 ns,3
add_constref_bench/4096,  213300717 ns,   213220499 ns,3
add_constref_bench/4096,  213483394 ns,   213471035 ns,3
add_constref_bench/4096,  213732808 ns,   213702406 ns,3
add_constref_bench/4096,  214084244 ns,   214025999 ns,3
add_constref_bench/4096,  216920173 ns,   216901481 ns,3
add_constref_bench/4096,  214260037 ns,   213964500 ns,3
add_constref_bench/4096,  214456720 ns,   214394527 ns,3
add_constref_bench/4096,  213636709 ns,   213607471 ns,3
add_constref_bench/4096,  213175489 ns,   213147556 ns,3
add_constref_bench/4096,  213671511 ns,   213654967 ns,3
add_constref_bench/4096,  213984892 ns,   213984719 ns,3
add_constref_bench/4096,  213930627 ns,   213912924 ns,3
add_constref_bench/4096,  214074981 ns,   213978173 ns,3
add_constref_bench/4096,  213591693 ns,   213550678 ns,3
add_constref_bench/4096,  213977487 ns,   213939798 ns,3
add_constref_bench/4096,  214062280 ns,   213998321 ns,3
add_constref_bench/4096,  213386718 ns,   213343045 ns,3
add_constref_bench/4096,  214254206 ns,   214218286 ns,3
add_constref_bench/4096,  213404700 ns,   213354727 ns,3
add_constref_bench/4096,  213168877 ns,   213165756 ns,3
add_constref_bench/4096,  213290429 ns,   213210056 ns,3
add_constref_bench/4096,  213037136 ns,   212999087 ns,3
add_constref_bench/4096,  212962262 ns,   212907752 ns,3
add_constref_bench/4096,  213383646 ns,   213332232 ns,3
add_constref_bench/4096_mean,  213789784 ns,   213737850 ns,30
add_constref_bench/4096_median,  213654110 ns,   213631219 ns,30
add_constref_bench/4096_stddev,     711624 ns,      710797 ns,30
add_constref_bench/8192,  853015022 ns,   852773510 ns,1
add_constref_bench/8192,  850986100 ns,   850819417 ns,1
add_constref_bench/8192,  852029439 ns,   851946891 ns,1
add_constref_bench/8192,  851527203 ns,   851296433 ns,1
add_constref_bench/8192,  853691837 ns,   853475929 ns,1
add_constref_bench/8192,  853998541 ns,   853592126 ns,1
add_constref_bench/8192,  854034467 ns,   853908649 ns,1
add_constref_bench/8192,  853734462 ns,   853551239 ns,1
add_constref_bench/8192,  853175100 ns,   853125141 ns,1
add_constref_bench/8192,  851653562 ns,   851378005 ns,1
add_constref_bench/8192,  851623664 ns,   851420454 ns,1
add_constref_bench/8192,  853268421 ns,   853003574 ns,1
add_constref_bench/8192,  851705274 ns,   851553182 ns,1
add_constref_bench/8192,  852226802 ns,   852116059 ns,1
add_constref_bench/8192,  852247499 ns,   851994469 ns,1
add_constref_bench/8192,  852001055 ns,   851952652 ns,1
add_constref_bench/8192,  851432236 ns,   851106628 ns,1
add_constref_bench/8192,  853972284 ns,   853697142 ns,1
add_constref_bench/8192,  853822381 ns,   853616152 ns,1
add_constref_bench/8192,  853762366 ns,   853418091 ns,1
add_constref_bench/8192,  852616994 ns,   852539292 ns,1
add_constref_bench/8192,  851717354 ns,   851503489 ns,1
add_constref_bench/8192,  853691378 ns,   853569354 ns,1
add_constref_bench/8192,  854954971 ns,   854770827 ns,1
add_constref_bench/8192,  855827748 ns,   855667297 ns,1
add_constref_bench/8192,  855154582 ns,   854882396 ns,1
add_constref_bench/8192,  853139738 ns,   852915569 ns,1
add_constref_bench/8192,  852963085 ns,   852822744 ns,1
add_constref_bench/8192,  852664392 ns,   852363914 ns,1
add_constref_bench/8192,  852447352 ns,   852273572 ns,1
add_constref_bench/8192_mean,  852969510 ns,   852768473 ns,30
add_constref_bench/8192_median,  852989054 ns,   852798127 ns,30
add_constref_bench/8192_stddev,    1199175 ns,     1192012 ns,30
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.6 ns,        59.5 ns,11833028
add_pf_bench/2,       59.5 ns,        59.5 ns,11833028
add_pf_bench/2,       59.5 ns,        59.5 ns,11833028
add_pf_bench/2,       59.2 ns,        59.2 ns,11833028
add_pf_bench/2,       59.4 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.5 ns,        59.5 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.5 ns,        59.5 ns,11833028
add_pf_bench/2,       59.5 ns,        59.5 ns,11833028
add_pf_bench/2,       59.2 ns,        59.2 ns,11833028
add_pf_bench/2,       59.4 ns,        59.4 ns,11833028
add_pf_bench/2,       59.3 ns,        59.3 ns,11833028
add_pf_bench/2_mean,       59.4 ns,        59.4 ns,30
add_pf_bench/2_median,       59.4 ns,        59.3 ns,30
add_pf_bench/2_stddev,      0.091 ns,       0.090 ns,30
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        183 ns,         183 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4,        184 ns,         184 ns,3826064
add_pf_bench/4_mean,        183 ns,         183 ns,30
add_pf_bench/4_median,        183 ns,         183 ns,30
add_pf_bench/4_stddev,      0.354 ns,       0.353 ns,30
add_pf_bench/8,        684 ns,         683 ns,1021206
add_pf_bench/8,        683 ns,         683 ns,1021206
add_pf_bench/8,        681 ns,         681 ns,1021206
add_pf_bench/8,        682 ns,         681 ns,1021206
add_pf_bench/8,        679 ns,         678 ns,1021206
add_pf_bench/8,        678 ns,         678 ns,1021206
